,Request id,Pickup point,Driver id,Status,RequestTimestamp,DropTimestamp,Request Hour,weekday,Time_slot,supply_demand
32,2847,Airport,4.0,Trip Completed,2016-07-13 05:34:20,2016-07-13 06:09:59,5,Wednesday,Early Morning,Supply
33,3722,Airport,4.0,Trip Completed,2016-07-13 19:57:59,2016-07-13 20:32:04,19,Wednesday,Evening_Time,Supply
34,4075,City,4.0,Trip Completed,2016-07-14 02:17:35,2016-07-14 03:21:38,2,Thursday,Early Morning,Supply
35,4686,City,4.0,Trip Completed,2016-07-14 13:01:10,2016-07-14 13:45:28,13,Thursday,Daytime,Supply
36,5771,Airport,4.0,Trip Completed,2016-07-15 08:30:06,2016-07-15 09:37:20,8,Friday,Morning_Time,Supply
37,6106,Airport,4.0,Trip Completed,2016-07-15 15:01:20,2016-07-15 15:47:31,15,Friday,Daytime,Supply
38,312,City,5.0,Trip Completed,2016-11-07 07:27:00,2016-11-07 08:31:00,7,Monday,Morning_Time,Supply
39,577,Airport,5.0,Trip Completed,2016-11-07 11:03:00,2016-11-07 12:01:00,11,Monday,Daytime,Supply
40,1179,City,5.0,Trip Completed,2016-11-07 20:58:00,2016-11-07 21:45:00,20,Monday,Evening_Time,Supply
41,1756,Airport,5.0,Trip Completed,2016-12-07 08:40:00,2016-12-07 09:23:00,8,Wednesday,Morning_Time,Supply
42,2052,City,5.0,Trip Completed,2016-12-07 14:48:00,2016-12-07 15:50:00,14,Wednesday,Daytime,Supply
43,2559,City,5.0,Trip Completed,2016-12-07 21:32:00,2016-12-07 22:29:00,21,Wednesday,Evening_Time,Supply
44,3014,City,5.0,Trip Completed,2016-07-13 07:28:14,2016-07-13 08:29:47,7,Wednesday,Morning_Time,Supply
45,3317,City,5.0,Trip Completed,2016-07-13 12:14:27,2016-07-13 12:46:38,12,Wednesday,Daytime,Supply
46,4297,City,5.0,Trip Completed,2016-07-14 06:43:01,2016-07-14 07:49:38,6,Thursday,Morning_Time,Supply
47,5857,Airport,5.0,Trip Completed,2016-07-15 09:08:50,2016-07-15 10:07:07,9,Friday,Morning_Time,Supply
48,6690,Airport,5.0,Trip Completed,2016-07-15 22:41:41,2016-07-15 23:51:00,22,Friday,Late_Night,Supply
49,1517,Airport,6.0,Trip Completed,2016-12-07 05:45:00,2016-12-07 06:28:00,5,Wednesday,Early Morning,Supply
50,1999,Airport,6.0,Trip Completed,2016-12-07 13:02:00,2016-12-07 13:51:00,13,Wednesday,Daytime,Supply
51,2960,Airport,6.0,Trip Completed,2016-07-13 06:50:33,2016-07-13 07:40:35,6,Wednesday,Morning_Time,Supply
52,3882,City,6.0,Trip Completed,2016-07-13 21:53:03,2016-07-13 22:45:24,21,Wednesday,Evening_Time,Supply
53,4081,Airport,6.0,Trip Completed,2016-07-14 02:37:14,2016-07-14 03:30:27,2,Thursday,Early Morning,Supply
54,4740,City,6.0,Trip Completed,2016-07-14 14:50:07,2016-07-14 15:38:14,14,Thursday,Daytime,Supply
55,5270,City,6.0,Trip Completed,2016-07-14 21:33:55,2016-07-14 22:25:43,21,Thursday,Evening_Time,Supply
56,6758,Airport,6.0,Trip Completed,2016-07-15 00:03:39,2016-07-15 01:07:39,0,Friday,,Supply
57,5741,City,6.0,Trip Completed,2016-07-15 07:52:51,2016-07-15 08:38:55,7,Friday,Morning_Time,Supply
58,6087,Airport,6.0,Trip Completed,2016-07-15 14:28:50,2016-07-15 15:33:53,14,Friday,Daytime,Supply
59,1039,City,7.0,Trip Completed,2016-11-07 19:31:00,2016-11-07 20:41:00,19,Monday,Evening_Time,Supply
60,1273,Airport,7.0,Trip Completed,2016-11-07 22:07:00,2016-11-07 23:12:00,22,Monday,Late_Night,Supply
61,2480,City,7.0,Trip Completed,2016-12-07 20:39:00,2016-12-07 21:28:00,20,Wednesday,Evening_Time,Supply
62,4105,City,7.0,Trip Completed,2016-07-14 03:39:38,2016-07-14 04:39:04,3,Thursday,Early Morning,Supply
63,4509,City,7.0,Trip Completed,2016-07-14 09:11:13,2016-07-14 10:17:01,9,Thursday,Morning_Time,Supply
64,4986,Airport,7.0,Trip Completed,2016-07-14 18:52:32,2016-07-14 19:50:57,18,Thursday,Evening_Time,Supply
65,5898,City,7.0,Trip Completed,2016-07-15 09:50:28,2016-07-15 10:40:39,9,Friday,Morning_Time,Supply
66,6142,Airport,7.0,Trip Completed,2016-07-15 15:50:15,2016-07-15 16:36:56,15,Friday,Daytime,Supply
67,380,Airport,8.0,Trip Completed,2016-11-07 08:18:00,2016-11-07 09:18:00,8,Monday,Morning_Time,Supply
68,1050,Airport,8.0,Trip Completed,2016-11-07 19:39:00,2016-11-07 20:30:00,19,Monday,Evening_Time,Supply
69,1769,City,8.0,Trip Completed,2016-12-07 08:57:00,2016-12-07 09:24:00,8,Wednesday,Morning_Time,Supply
70,2520,City,8.0,Trip Completed,2016-12-07 21:05:00,2016-12-07 22:20:00,21,Wednesday,Evening_Time,Supply
71,3265,Airport,8.0,Trip Completed,2016-07-13 10:22:07,2016-07-13 11:07:02,10,Wednesday,Morning_Time,Supply
72,4648,City,8.0,Trip Completed,2016-07-14 11:55:10,2016-07-14 12:59:34,11,Thursday,Daytime,Supply
73,449,Airport,9.0,Trip Completed,2016-11-07 09:08:00,2016-11-07 09:52:00,9,Monday,Morning_Time,Supply
74,846,Airport,9.0,Trip Completed,2016-11-07 17:46:00,2016-11-07 18:52:00,17,Monday,Daytime,Supply
75,1346,Airport,9.0,Trip Completed,2016-11-07 23:39:00,2016-12-07 00:23:00,23,Monday,Late_Night,Supply
76,1474,Airport,9.0,Trip Completed,2016-12-07 05:13:00,2016-12-07 05:56:00,5,Wednesday,Early Morning,Supply
77,2240,City,9.0,Trip Completed,2016-12-07 18:20:00,2016-12-07 18:54:00,18,Wednesday,Evening_Time,Supply
78,3072,Airport,9.0,Trip Completed,2016-07-13 08:04:57,2016-07-13 08:36:37,8,Wednesday,Morning_Time,Supply
79,3459,Airport,9.0,Trip Completed,2016-07-13 17:03:30,2016-07-13 17:31:49,17,Wednesday,Daytime,Supply
80,3774,Airport,9.0,Trip Completed,2016-07-13 20:41:24,2016-07-13 21:27:29,20,Wednesday,Evening_Time,Supply
81,4023,City,9.0,Trip Completed,2016-07-13 23:58:41,2016-07-14 00:58:39,23,Wednesday,Late_Night,Supply
82,4117,City,9.0,Trip Completed,2016-07-14 04:21:42,2016-07-14 05:07:07,4,Thursday,Early Morning,Supply
83,4880,Airport,9.0,Trip Completed,2016-07-14 17:58:46,2016-07-14 19:02:42,17,Thursday,Daytime,Supply
84,5568,Airport,9.0,Trip Completed,2016-07-15 05:47:49,2016-07-15 06:25:49,5,Friday,Early Morning,Supply
85,5994,Airport,9.0,Trip Completed,2016-07-15 11:51:16,2016-07-15 12:32:12,11,Friday,Daytime,Supply
86,1809,Airport,10.0,Trip Completed,2016-12-07 09:13:00,2016-12-07 10:01:00,9,Wednesday,Morning_Time,Supply
87,2064,Airport,10.0,Trip Completed,2016-12-07 15:08:00,2016-12-07 16:14:00,15,Wednesday,Daytime,Supply
88,3210,City,10.0,Trip Completed,2016-07-13 09:47:06,2016-07-13 10:52:37,9,Wednesday,Morning_Time,Supply
89,4350,City,10.0,Trip Completed,2016-07-14 07:24:43,2016-07-14 08:22:09,7,Thursday,Morning_Time,Supply
90,4713,City,10.0,Trip Completed,2016-07-14 13:31:24,2016-07-14 14:10:56,13,Thursday,Daytime,Supply
91,5629,Airport,10.0,Trip Completed,2016-07-15 06:33:00,2016-07-15 07:19:53,6,Friday,Morning_Time,Supply
92,6157,Airport,10.0,Trip Completed,2016-07-15 16:32:51,2016-07-15 17:44:44,16,Friday,Daytime,Supply
93,2030,City,11.0,Trip Completed,2016-12-07 14:11:00,2016-12-07 15:02:00,14,Wednesday,Daytime,Supply
94,3226,City,11.0,Trip Completed,2016-07-13 10:00:17,2016-07-13 11:02:52,10,Wednesday,Morning_Time,Supply
95,3353,City,11.0,Trip Completed,2016-07-13 13:29:44,2016-07-13 14:09:00,13,Wednesday,Daytime,Supply
96,4293,City,11.0,Trip Completed,2016-07-14 06:42:36,2016-07-14 07:12:41,6,Thursday,Morning_Time,Supply
97,4936,City,11.0,Trip Completed,2016-07-14 18:22:17,2016-07-14 19:14:36,18,Thursday,Evening_Time,Supply
98,5661,Airport,11.0,Trip Completed,2016-07-15 07:08:50,2016-07-15 07:59:00,7,Friday,Morning_Time,Supply
99,5778,City,11.0,Trip Completed,2016-07-15 08:22:03,2016-07-15 09:13:04,8,Friday,Morning_Time,Supply
100,6425,Airport,11.0,Trip Completed,2016-07-15 19:46:40,2016-07-15 20:26:51,19,Friday,Evening_Time,Supply
101,45,Airport,12.0,Trip Completed,2016-11-07 03:17:00,2016-11-07 04:09:00,3,Monday,Early Morning,Supply
102,264,City,12.0,Trip Completed,2016-11-07 06:51:00,2016-11-07 07:40:00,6,Monday,Morning_Time,Supply
103,1183,City,12.0,Trip Completed,2016-11-07 21:05:00,2016-11-07 21:38:00,21,Monday,Evening_Time,Supply
104,1536,Airport,12.0,Trip Completed,2016-12-07 05:59:00,2016-12-07 06:59:00,5,Wednesday,Early Morning,Supply
105,2437,City,12.0,Trip Completed,2016-12-07 20:18:00,2016-12-07 21:26:00,20,Wednesday,Evening_Time,Supply
106,2641,Airport,12.0,Trip Completed,2016-12-07 22:28:00,2016-12-07 23:05:00,22,Wednesday,Late_Night,Supply
107,4077,Airport,12.0,Trip Completed,2016-07-14 02:14:15,2016-07-14 03:13:09,2,Thursday,Early Morning,Supply
108,4610,City,12.0,Trip Completed,2016-07-14 10:35:14,2016-07-14 11:39:01,10,Thursday,Morning_Time,Supply
109,5066,Airport,12.0,Trip Completed,2016-07-14 19:31:20,2016-07-14 20:14:03,19,Thursday,Evening_Time,Supply
110,5666,Airport,12.0,Trip Completed,2016-07-15 07:04:55,2016-07-15 08:12:37,7,Friday,Morning_Time,Supply
111,5923,City,12.0,Trip Completed,2016-07-15 10:07:49,2016-07-15 10:50:50,10,Friday,Morning_Time,Supply
112,6367,City,12.0,Trip Completed,2016-07-15 19:04:46,2016-07-15 19:46:04,19,Friday,Evening_Time,Supply
113,155,City,13.0,Trip Completed,2016-11-07 05:32:00,2016-11-07 06:28:00,5,Monday,Early Morning,Supply
114,310,Airport,13.0,Trip Completed,2016-11-07 07:24:00,2016-11-07 08:28:00,7,Monday,Morning_Time,Supply
115,607,City,13.0,Trip Completed,2016-11-07 11:51:00,2016-11-07 12:42:00,11,Monday,Daytime,Supply
116,1012,City,13.0,Trip Completed,2016-11-07 19:15:00,2016-11-07 19:57:00,19,Monday,Evening_Time,Supply
117,1696,Airport,13.0,Trip Completed,2016-12-07 08:01:00,2016-12-07 08:42:00,8,Wednesday,Morning_Time,Supply
118,3076,City,13.0,Trip Completed,2016-07-13 08:09:04,2016-07-13 09:12:19,8,Wednesday,Morning_Time,Supply
119,4198,Airport,13.0,Trip Completed,2016-07-14 05:32:14,2016-07-14 06:45:32,5,Thursday,Early Morning,Supply
120,4627,City,13.0,Trip Completed,2016-07-14 11:13:19,2016-07-14 12:00:12,11,Thursday,Daytime,Supply
121,5289,City,13.0,Trip Completed,2016-07-14 21:43:24,2016-07-14 22:24:13,21,Thursday,Evening_Time,Supply
122,5495,Airport,13.0,Trip Completed,2016-07-15 05:00:13,2016-07-15 06:02:27,5,Friday,Early Morning,Supply
123,6656,Airport,13.0,Trip Completed,2016-07-15 22:08:42,2016-07-15 22:41:18,22,Friday,Late_Night,Supply
124,139,Airport,14.0,Trip Completed,2016-11-07 05:21:00,2016-11-07 06:09:00,5,Monday,Early Morning,Supply
125,215,City,14.0,Trip Completed,2016-11-07 06:15:00,2016-11-07 07:07:00,6,Monday,Morning_Time,Supply
126,1816,City,14.0,Trip Completed,2016-12-07 09:24:00,2016-12-07 10:07:00,9,Wednesday,Morning_Time,Supply
127,2505,Airport,14.0,Trip Completed,2016-12-07 21:03:00,2016-12-07 22:14:00,21,Wednesday,Evening_Time,Supply
128,3346,City,14.0,Trip Completed,2016-07-13 13:01:42,2016-07-13 13:55:59,13,Wednesday,Daytime,Supply
129,5294,City,14.0,Trip Completed,2016-07-14 21:45:50,2016-07-14 22:16:40,21,Thursday,Evening_Time,Supply
130,6226,Airport,14.0,Trip Completed,2016-07-15 17:34:25,2016-07-15 18:33:13,17,Friday,Daytime,Supply
131,6733,Airport,14.0,Trip Completed,2016-07-15 23:32:44,2016-07-16 00:37:46,23,Friday,Late_Night,Supply
132,1027,Airport,15.0,Trip Completed,2016-11-07 19:18:00,2016-11-07 20:24:00,19,Monday,Evening_Time,Supply
133,2675,Airport,15.0,Trip Completed,2016-12-07 23:43:00,2016-07-13 00:35:12,23,Wednesday,Late_Night,Supply
134,3200,City,15.0,Trip Completed,2016-07-13 09:39:44,2016-07-13 10:30:58,9,Wednesday,Morning_Time,Supply
135,3865,City,15.0,Trip Completed,2016-07-13 21:52:05,2016-07-13 22:21:15,21,Wednesday,Evening_Time,Supply
136,4468,City,15.0,Trip Completed,2016-07-14 08:42:46,2016-07-14 09:22:01,8,Thursday,Morning_Time,Supply
137,5163,Airport,15.0,Trip Completed,2016-07-14 20:34:30,2016-07-14 21:05:18,20,Thursday,Evening_Time,Supply
138,6009,City,15.0,Trip Completed,2016-07-15 12:22:35,2016-07-15 13:25:27,12,Friday,Daytime,Supply
139,6448,Airport,15.0,Trip Completed,2016-07-15 20:02:54,2016-07-15 20:40:45,20,Friday,Evening_Time,Supply
140,591,City,16.0,Trip Completed,2016-11-07 11:25:00,2016-11-07 12:31:00,11,Monday,Daytime,Supply
141,709,City,16.0,Trip Completed,2016-11-07 14:16:00,2016-11-07 15:03:00,14,Monday,Daytime,Supply
142,1167,Airport,16.0,Trip Completed,2016-11-07 20:50:00,2016-11-07 21:52:00,20,Monday,Evening_Time,Supply
143,2661,Airport,16.0,Trip Completed,2016-12-07 23:23:00,2016-07-13 00:27:21,23,Wednesday,Late_Night,Supply
144,2808,City,16.0,Trip Completed,2016-07-13 05:05:16,2016-07-13 05:56:11,5,Wednesday,Early Morning,Supply
145,3258,Airport,16.0,Trip Completed,2016-07-13 10:12:51,2016-07-13 10:45:28,10,Wednesday,Morning_Time,Supply
146,3413,Airport,16.0,Trip Completed,2016-07-13 15:32:01,2016-07-13 16:45:44,15,Wednesday,Daytime,Supply
147,3939,Airport,16.0,Trip Completed,2016-07-13 22:26:26,2016-07-13 22:55:54,22,Wednesday,Late_Night,Supply
148,4125,City,16.0,Trip Completed,2016-07-14 04:37:11,2016-07-14 05:46:29,4,Thursday,Early Morning,Supply
149,4457,City,16.0,Trip Completed,2016-07-14 08:36:24,2016-07-14 09:19:20,8,Thursday,Morning_Time,Supply
150,4728,City,16.0,Trip Completed,2016-07-14 14:04:13,2016-07-14 15:06:40,14,Thursday,Daytime,Supply
151,5347,Airport,16.0,Trip Completed,2016-07-14 22:51:47,2016-07-14 23:53:42,22,Thursday,Late_Night,Supply
152,6147,City,16.0,Trip Completed,2016-07-15 16:11:02,2016-07-15 17:30:08,16,Friday,Daytime,Supply
153,6496,Airport,16.0,Trip Completed,2016-07-15 20:33:00,2016-07-15 21:32:49,20,Friday,Evening_Time,Supply
154,634,City,17.0,Trip Completed,2016-11-07 12:25:00,2016-11-07 13:06:00,12,Monday,Daytime,Supply
155,939,Airport,17.0,Trip Completed,2016-11-07 18:25:00,2016-11-07 19:26:00,18,Monday,Evening_Time,Supply
156,2628,Airport,17.0,Trip Completed,2016-12-07 22:10:00,2016-12-07 23:25:00,22,Wednesday,Late_Night,Supply
157,3021,City,17.0,Trip Completed,2016-07-13 07:33:20,2016-07-13 08:26:07,7,Wednesday,Morning_Time,Supply
158,4743,City,17.0,Trip Completed,2016-07-14 14:54:16,2016-07-14 15:39:03,14,Thursday,Daytime,Supply
159,4981,City,17.0,Trip Completed,2016-07-14 18:47:42,2016-07-14 19:43:44,18,Thursday,Evening_Time,Supply
160,5367,Airport,17.0,Trip Completed,2016-07-14 23:35:34,2016-07-15 00:25:26,23,Thursday,Late_Night,Supply
161,5471,Airport,17.0,Trip Completed,2016-07-15 04:48:57,2016-07-15 05:47:13,4,Friday,Early Morning,Supply
162,5988,Airport,17.0,Trip Completed,2016-07-15 11:48:32,2016-07-15 12:55:02,11,Friday,Daytime,Supply
163,6477,Airport,17.0,Trip Completed,2016-07-15 20:21:26,2016-07-15 21:00:31,20,Friday,Evening_Time,Supply
164,499,City,18.0,Trip Completed,2016-11-07 09:39:00,2016-11-07 10:16:00,9,Monday,Morning_Time,Supply
165,1147,Airport,18.0,Trip Completed,2016-11-07 20:42:00,2016-11-07 21:18:00,20,Monday,Evening_Time,Supply
166,1410,Airport,18.0,Trip Completed,2016-12-07 03:14:00,2016-12-07 04:27:00,3,Wednesday,Early Morning,Supply
167,1804,Airport,18.0,Trip Completed,2016-12-07 09:12:00,2016-12-07 09:57:00,9,Wednesday,Morning_Time,Supply
168,1949,Airport,18.0,Trip Completed,2016-12-07 11:32:00,2016-12-07 12:13:00,11,Wednesday,Daytime,Supply
169,2713,City,18.0,Trip Completed,2016-07-13 01:46:42,2016-07-13 02:37:08,1,Wednesday,Early Morning,Supply
170,2845,City,18.0,Trip Completed,2016-07-13 05:28:29,2016-07-13 06:10:40,5,Wednesday,Early Morning,Supply
171,3943,Airport,18.0,Trip Completed,2016-07-13 22:35:38,2016-07-13 23:33:20,22,Wednesday,Late_Night,Supply
172,4792,City,18.0,Trip Completed,2016-07-14 16:47:15,2016-07-14 17:34:39,16,Thursday,Daytime,Supply
173,5207,Airport,18.0,Trip Completed,2016-07-14 20:57:41,2016-07-14 21:56:21,20,Thursday,Evening_Time,Supply
174,5890,City,18.0,Trip Completed,2016-07-15 09:43:57,2016-07-15 10:55:22,9,Friday,Morning_Time,Supply
175,494,City,19.0,Trip Completed,2016-11-07 09:36:00,2016-11-07 10:02:00,9,Monday,Morning_Time,Supply
176,1485,City,19.0,Trip Completed,2016-12-07 05:21:00,2016-12-07 06:35:00,5,Wednesday,Early Morning,Supply
177,2042,City,19.0,Trip Completed,2016-12-07 14:30:00,2016-12-07 15:09:00,14,Wednesday,Daytime,Supply
178,2561,Airport,19.0,Trip Completed,2016-12-07 21:29:00,2016-12-07 22:44:00,21,Wednesday,Evening_Time,Supply
179,3813,Airport,19.0,Trip Completed,2016-07-13 21:06:57,2016-07-13 21:46:24,21,Wednesday,Evening_Time,Supply
180,4260,Airport,19.0,Trip Completed,2016-07-14 06:11:51,2016-07-14 06:59:46,6,Thursday,Morning_Time,Supply
181,4395,City,19.0,Trip Completed,2016-07-14 08:00:15,2016-07-14 08:54:39,8,Thursday,Morning_Time,Supply
182,5919,City,19.0,Trip Completed,2016-07-15 10:03:42,2016-07-15 10:59:27,10,Friday,Morning_Time,Supply
183,6002,Airport,19.0,Trip Completed,2016-07-15 12:04:15,2016-07-15 12:53:36,12,Friday,Daytime,Supply
184,468,City,20.0,Trip Completed,2016-11-07 09:20:00,2016-11-07 10:05:00,9,Monday,Morning_Time,Supply
185,693,Airport,20.0,Trip Completed,2016-11-07 13:51:00,2016-11-07 15:01:00,13,Monday,Daytime,Supply
186,1178,City,20.0,Trip Completed,2016-11-07 21:05:00,2016-11-07 22:06:00,21,Monday,Evening_Time,Supply
187,2103,City,20.0,Trip Completed,2016-12-07 16:08:00,2016-12-07 17:18:00,16,Wednesday,Daytime,Supply
188,2292,Airport,20.0,Trip Completed,2016-12-07 18:46:00,2016-12-07 19:23:00,18,Wednesday,Evening_Time,Supply
189,3339,City,20.0,Trip Completed,2016-07-13 12:40:58,2016-07-13 13:30:26,12,Wednesday,Daytime,Supply
190,3694,City,20.0,Trip Completed,2016-07-13 19:33:19,2016-07-13 20:35:08,19,Wednesday,Evening_Time,Supply
191,4469,City,20.0,Trip Completed,2016-07-14 08:45:13,2016-07-14 09:48:08,8,Thursday,Morning_Time,Supply
192,6432,City,20.0,Trip Completed,2016-07-15 19:50:57,2016-07-15 20:30:05,19,Friday,Evening_Time,Supply
193,1895,City,21.0,Trip Completed,2016-12-07 10:20:00,2016-12-07 10:52:00,10,Wednesday,Morning_Time,Supply
194,1981,Airport,21.0,Trip Completed,2016-12-07 12:23:00,2016-12-07 12:56:00,12,Wednesday,Daytime,Supply
195,3744,Airport,21.0,Trip Completed,2016-07-13 20:28:11,2016-07-13 21:22:42,20,Wednesday,Evening_Time,Supply
196,4433,Airport,21.0,Trip Completed,2016-07-14 08:26:32,2016-07-14 09:12:02,8,Thursday,Morning_Time,Supply
197,6039,Airport,21.0,Trip Completed,2016-07-15 13:11:04,2016-07-15 13:38:01,13,Friday,Daytime,Supply
198,6543,City,21.0,Trip Completed,2016-07-15 20:54:20,2016-07-15 22:12:36,20,Friday,Evening_Time,Supply
199,110,City,22.0,Trip Completed,2016-11-07 05:05:00,2016-11-07 06:06:00,5,Monday,Early Morning,Supply
200,362,City,22.0,Trip Completed,2016-11-07 08:01:00,2016-11-07 09:18:00,8,Monday,Morning_Time,Supply
201,666,Airport,22.0,Trip Completed,2016-11-07 13:02:00,2016-11-07 13:45:00,13,Monday,Daytime,Supply
202,926,City,22.0,Trip Completed,2016-11-07 18:28:00,2016-11-07 19:34:00,18,Monday,Evening_Time,Supply
203,1180,Airport,22.0,Trip Completed,2016-11-07 21:01:00,2016-11-07 22:14:00,21,Monday,Evening_Time,Supply
204,1900,City,22.0,Trip Completed,2016-12-07 10:32:00,2016-12-07 11:42:00,10,Wednesday,Morning_Time,Supply
205,2506,City,22.0,Trip Completed,2016-12-07 21:01:00,2016-12-07 21:38:00,21,Wednesday,Evening_Time,Supply
206,3064,City,22.0,Trip Completed,2016-07-13 08:02:03,2016-07-13 08:58:46,8,Wednesday,Morning_Time,Supply
207,3327,Airport,22.0,Trip Completed,2016-07-13 12:24:41,2016-07-13 13:23:39,12,Wednesday,Daytime,Supply
208,3601,City,22.0,Trip Completed,2016-07-13 18:39:00,2016-07-13 19:29:07,18,Wednesday,Evening_Time,Supply
209,4768,Airport,22.0,Trip Completed,2016-07-14 15:39:24,2016-07-14 16:49:03,15,Thursday,Daytime,Supply
210,5142,City,22.0,Trip Completed,2016-07-14 20:17:51,2016-07-14 20:48:58,20,Thursday,Evening_Time,Supply
211,5366,Airport,22.0,Trip Completed,2016-07-14 23:27:22,2016-07-15 00:19:50,23,Thursday,Late_Night,Supply
212,5575,City,22.0,Trip Completed,2016-07-15 05:53:55,2016-07-15 06:50:02,5,Friday,Early Morning,Supply
213,5902,City,22.0,Trip Completed,2016-07-15 09:52:57,2016-07-15 10:37:05,9,Friday,Morning_Time,Supply
214,6694,Airport,22.0,Trip Completed,2016-07-15 22:45:44,2016-07-15 23:17:53,22,Friday,Late_Night,Supply
215,523,Airport,23.0,Trip Completed,2016-11-07 09:48:00,2016-11-07 10:37:00,9,Monday,Morning_Time,Supply
216,747,City,23.0,Trip Completed,2016-11-07 15:53:00,2016-11-07 16:43:00,15,Monday,Daytime,Supply
217,1371,Airport,23.0,Trip Completed,2016-12-07 00:22:00,2016-12-07 01:33:00,0,Wednesday,,Supply
218,1553,City,23.0,Trip Completed,2016-12-07 06:09:00,2016-12-07 07:09:00,6,Wednesday,Morning_Time,Supply
219,1692,Airport,23.0,Trip Completed,2016-12-07 07:52:00,2016-12-07 09:01:00,7,Wednesday,Morning_Time,Supply
220,2114,City,23.0,Trip Completed,2016-12-07 16:36:00,2016-12-07 17:21:00,16,Wednesday,Daytime,Supply
221,2742,City,23.0,Trip Completed,2016-07-13 03:07:37,2016-07-13 03:51:35,3,Wednesday,Early Morning,Supply
222,4273,City,23.0,Trip Completed,2016-07-14 06:17:01,2016-07-14 07:02:28,6,Thursday,Morning_Time,Supply
